dataset,method,count,aurc,full_coverage_risk,risk_at_10pct,risk_at_25pct,risk_at_50pct,risk_at_75pct,risk_at_100pct
MIR-1K E1 pair direction,Beat v2 margin,600,0.3870442783579179,0.5233333333333333,0.2833333333333333,0.31333333333333335,0.3933333333333333,0.4266666666666667,0.5233333333333333
MIR-1K E1 pair direction,Beat v5 margin,600,0.5158615692925668,0.4683333333333333,0.65,0.5666666666666667,0.49,0.4888888888888889,0.4683333333333333
MIR-1K E1 pair direction,V2/V5 raw mean margin,600,0.4066369164174622,0.44666666666666666,0.31666666666666665,0.38,0.44,0.43777777777777777,0.44666666666666666
MIR-1K E1 pair direction,V5 evidence confidence,600,0.5153050314999451,0.4683333333333333,0.5666666666666667,0.47333333333333333,0.5333333333333333,0.4666666666666667,0.4683333333333333
MIR-1K E1 pair direction,Beat v2 + Coverage (raw),600,0.33629958880071814,0.38333333333333336,0.25,0.28,0.35,0.3977777777777778,0.38333333333333336
MIR-1K E1 pair direction,Beat v5 + Coverage (raw),600,0.44701675793748524,0.41833333333333333,0.5166666666666667,0.48,0.44,0.4311111111111111,0.41833333333333333
MIR-1K E1 pair direction,Beat v2 + Coverage (frozen std),600,0.27923105277641175,0.3516666666666667,0.13333333333333333,0.23333333333333334,0.3,0.33555555555555555,0.3516666666666667
MIR-1K E1 pair direction,Beat v5 + Coverage (frozen std),600,0.39427925036932404,0.39,0.4166666666666667,0.44,0.3933333333333333,0.37555555555555553,0.39
SongEval controlled exact order,MuseCritic-Musicality,94,0.7686454132685006,0.7021276595744681,1.0,0.75,0.723404255319149,0.704225352112676,0.7021276595744681
SongEval controlled exact order,MuseCritic-Mean5,94,0.7356326853698859,0.6595744680851063,1.0,0.75,0.6808510638297872,0.6619718309859155,0.6595744680851063
SongEval controlled exact order,BeatReward-v2,94,0.10342246451813662,0.3191489361702128,0.0,0.0,0.06382978723404255,0.18309859154929578,0.3191489361702128
SongEval controlled exact order,BeatReward-v5,94,0.09395968163167724,0.19148936170212766,0.0,0.08333333333333333,0.0851063829787234,0.14084507042253522,0.19148936170212766
SongEval controlled exact order,V2/V5 raw mean,94,0.056436272565338605,0.19148936170212766,0.0,0.0,0.02127659574468085,0.09859154929577464,0.19148936170212766
