arm,label,score_key,k,target_gain,target_gain_calibration_sd,worst_independent_gain_sd,mean_independent_gain_sd,worst_independent_budget,pareto_negative_prompt_fraction,usable_group_fraction,median_top_margin_sd,top1_stability_noise_0.1sd,top1_stability_noise_0.25sd,top1_stability_noise_0.5sd
beat_v2,Beat v2,beat_v2,16,0.3961074817246456,1.5165965745118322,-0.369670795859807,0.548525934467868,-1.699831344503097,0.875,1.0,0.0,0.5414375,0.4620625,0.3741875
beat_v5,Beat v5,beat_v5_madmom,16,0.17296429587957013,3.3099096439675386,-0.020040747584841603,0.1673808580537619,-0.09215196681348764,1.0,1.0,0.8044857349495087,0.8900625,0.84825,0.7686875
beat_v5_ensemble,V5 ensemble,beat_v5_detector_ensemble,16,0.12996443381240236,2.505690713631985,0.04228644607887061,0.32974778620186257,0.1944428050512377,1.0,1.0,0.6132954670829204,0.9143749999999999,0.8280000000000001,0.6853125
musecritic,MuseCritic,musecritic_mean5,16,1.0742919921875003,3.701023699585525,-0.08793757565415386,0.16081768867491694,-0.40435719870398207,0.875,1.0,1.4641597291635753,0.9984375000000001,0.9586250000000001,0.898875
coverage,Coverage only,coverage,16,0.1349728510716327,1.4676609369649953,-0.2621382573553247,-0.02117036269825302,-3.4232876009932798,0.75,1.0,0.2636662576040535,0.9005624999999999,0.7369375,0.564125
v2_coverage_raw,V2 + coverage,beat_v2_coverage_raw,16,0.20226129003430313,1.296408740234894,0.22768154795759435,0.6354214890433713,1.3217773437500013,0.625,1.0,0.10828580502580645,0.7164999999999999,0.479125,0.3276875
v2_coverage_floor,V2 | coverage floor,beat_v2_coverage_floor_q25,16,0.49231992125565743,1.257561580866547,0.30427147781626823,0.45269725040664277,0.795008135836037,0.5,1.0,0.0,0.49231250000000004,0.3869375,0.305875
v5_confidence,V5 x confidence,beat_v5_detector_ensemble_confidence_product,16,0.14530737901676088,3.076543631680411,-0.7183701888089437,0.13888055707380695,-4.170410156249998,1.0,1.0,0.5111180759009397,0.92275,0.838375,0.6644375
