arm,arm_label,metric,metric_label,optimized_construct,signed_delta,delta_calibration_sd,delta_noninferiority_budget
beat_v2,Beat v2,beat_v2,Beat v2,True,0.3961074817246456,1.5165965745118322,19.80537408623228
beat_v2,Beat v2,beat_v5_madmom,Beat v5,False,0.052554101028408545,1.005694990052106,2.627705051420427
beat_v2,Beat v2,coverage,Coverage,False,-0.03399662689006194,-0.369670795859807,-1.699831344503097
beat_v2,Beat v2,musecritic_mean5,MuseCritic,False,0.2930419921875001,1.009553609211305,5.860839843750002
beat_v5,Beat v5,beat_v2,Beat v2,False,0.12401704289416957,0.4748302698436055,6.200852144708478
beat_v5,Beat v5,beat_v5_madmom,Beat v5,True,0.17296429587957013,3.3099096439675386,8.648214793978505
beat_v5,Beat v5,coverage,Coverage,False,-0.0018430393362697528,-0.020040747584841603,-0.09215196681348764
beat_v5,Beat v5,musecritic_mean5,MuseCritic,False,0.0137451171875001,0.047353051902521766,0.274902343750002
beat_v5_ensemble,V5 ensemble,beat_v2,Beat v2,False,0.1757355485773337,0.6728475055101673,8.786777428866685
beat_v5_ensemble,V5 ensemble,beat_v5_madmom,Beat v5,True,0.15435762519672439,2.953845414514311,7.717881259836219
beat_v5_ensemble,V5 ensemble,coverage,Coverage,False,0.003888856101024754,0.04228644607887061,0.1944428050512377
beat_v5_ensemble,V5 ensemble,musecritic_mean5,MuseCritic,False,0.07956542968750013,0.27410940701654984,1.5913085937500027
musecritic,MuseCritic,beat_v2,Beat v2,False,0.06774133859474575,0.2593646593553988,3.3870669297372875
musecritic,MuseCritic,beat_v5_madmom,Beat v5,False,0.01625312948674692,0.31102598232350576,0.8126564743373459
musecritic,MuseCritic,coverage,Coverage,False,-0.008087143974079641,-0.08793757565415386,-0.40435719870398207
musecritic,MuseCritic,musecritic_mean5,MuseCritic,True,1.0742919921875003,3.701023699585525,21.485839843750004
coverage,Coverage only,beat_v2,Beat v2,False,-0.0684657520198656,-0.2621382573553247,-3.4232876009932798
coverage,Coverage only,beat_v5_madmom,Beat v5,False,-0.000744722714167971,-0.014251293199970759,-0.03723613570839855
coverage,Coverage only,coverage,Coverage,True,0.1349728510716327,1.4676609369649953,6.748642553581635
coverage,Coverage only,musecritic_mean5,MuseCritic,False,0.061791992187500144,0.2128784624605364,1.2358398437500029
v2_coverage_raw,V2 + coverage,beat_v2,Beat v2,True,0.38681260992977384,1.4810088328633964,19.340630496488693
v2_coverage_raw,V2 + coverage,beat_v5_madmom,Beat v5,False,0.054511966083380804,1.043161430129148,2.7255983041690404
v2_coverage_raw,V2 + coverage,coverage,Coverage,True,0.01770997013883245,0.19257377436434492,0.8854985069416226
v2_coverage_raw,V2 + coverage,musecritic_mean5,MuseCritic,False,0.06608886718750007,0.22768154795759435,1.3217773437500013
v2_coverage_floor,V2 | coverage floor,beat_v2,Beat v2,True,0.332761280374412,1.2740597974789645,16.6380640187206
v2_coverage_floor,V2 | coverage floor,beat_v5_madmom,Beat v5,False,0.01590016271672074,0.30427147781626823,0.795008135836037
v2_coverage_floor,V2 | coverage floor,coverage,Coverage,True,0.031689287808630354,0.3445813692731773,1.5844643904315177
v2_coverage_floor,V2 | coverage floor,musecritic_mean5,MuseCritic,False,0.17448730468750007,0.6011230229970173,3.4897460937500013
v5_confidence,V5 x confidence,beat_v2,Beat v2,False,0.29105543159118263,1.1143785232794454,14.552771579559131
v5_confidence,V5 x confidence,beat_v5_madmom,Beat v5,True,0.08018667236957275,1.534482240071741,4.009333618478637
v5_confidence,V5 x confidence,coverage,Coverage,False,0.001897536561919863,0.020633336750919048,0.09487682809599315
v5_confidence,V5 x confidence,musecritic_mean5,MuseCritic,False,-0.20852050781249992,-0.7183701888089437,-4.170410156249998
