arm,score_key,k,bon_kl,proxy_mean,proxy_gain,proxy_within_prompt_sd,proxy_gain_pool_sd,failed,failure_reasons,proxy_gain_ci_low,proxy_gain_ci_high,mean_beat_v2,mean_beat_v2_coverage_floor_q25,mean_beat_v2_coverage_frozen_std,mean_beat_v2_coverage_raw,mean_beat_v2_v5_gap,mean_beat_v2_v5_mean,mean_beat_v5_beat_this,mean_beat_v5_beat_this_confidence,mean_beat_v5_coverage_floor_q25,mean_beat_v5_coverage_frozen_std,mean_beat_v5_coverage_raw,mean_beat_v5_detector_ensemble,mean_beat_v5_detector_ensemble_confidence,mean_beat_v5_detector_ensemble_confidence_floor_q25,mean_beat_v5_detector_ensemble_confidence_product,mean_beat_v5_detector_ensemble_coverage_floor_q25,mean_beat_v5_detector_ensemble_coverage_frozen_std,mean_beat_v5_detector_ensemble_coverage_raw,mean_beat_v5_detector_ensemble_dual_floor_q25,mean_beat_v5_detector_gap,mean_beat_v5_madmom,mean_beat_v5_madmom_confidence,mean_clipping_rate,mean_coverage,mean_invalid_rate,mean_musecritic_clarity,mean_musecritic_coherence,mean_musecritic_mean5,mean_musecritic_memorability,mean_musecritic_musicality,mean_musecritic_naturalness,mean_repetition_rate,mean_silence_rate,delta_beat_v2,delta_beat_v2_coverage_floor_q25,delta_beat_v2_coverage_frozen_std,delta_beat_v2_coverage_raw,delta_beat_v2_v5_gap,delta_beat_v2_v5_mean,delta_beat_v5_beat_this,delta_beat_v5_beat_this_confidence,delta_beat_v5_coverage_floor_q25,delta_beat_v5_coverage_frozen_std,delta_beat_v5_coverage_raw,delta_beat_v5_detector_ensemble,delta_beat_v5_detector_ensemble_confidence,delta_beat_v5_detector_ensemble_confidence_floor_q25,delta_beat_v5_detector_ensemble_confidence_product,delta_beat_v5_detector_ensemble_coverage_floor_q25,delta_beat_v5_detector_ensemble_coverage_frozen_std,delta_beat_v5_detector_ensemble_coverage_raw,delta_beat_v5_detector_ensemble_dual_floor_q25,delta_beat_v5_detector_gap,delta_beat_v5_madmom,delta_beat_v5_madmom_confidence,delta_clipping_rate,delta_coverage,delta_invalid_rate,delta_musecritic_clarity,delta_musecritic_coherence,delta_musecritic_mean5,delta_musecritic_memorability,delta_musecritic_musicality,delta_musecritic_naturalness,delta_repetition_rate,delta_silence_rate,control_budget_coverage,control_budget_coverage_ci_low,control_budget_coverage_ci_high,control_budget_musecritic_mean5,control_budget_musecritic_mean5_ci_low,control_budget_musecritic_mean5_ci_high,control_budget_invalid_rate,control_budget_invalid_rate_ci_low,control_budget_invalid_rate_ci_high,control_budget_silence_rate,control_budget_silence_rate_ci_low,control_budget_silence_rate_ci_high,control_budget_repetition_rate,control_budget_repetition_rate_ci_low,control_budget_repetition_rate_ci_high,confirmed_failed,confirmed_failure_reasons
beat_v2,beat_v2,1,0.0,0.7665260366441659,0.0,0.3062819137649982,0.0,False,,0.0,0.0,0.7665260366441659,0.6413545020663471,0.49458526924740664,0.7885884726349754,0.2443969513050811,0.6712821935006674,0.5543008425758731,1.0,0.5020376009589627,0.5395222153144937,0.693344629491477,0.5687925144300705,0.8613872654908603,0.06349690232367329,0.48815999975773505,0.4948768669785435,0.50440429065493,0.6897217115279277,-0.010418745127853679,0.032021461440309804,0.5760383503571691,1.0,0.0,0.8106509086257849,0.0,2.80859375,2.818359375,2.85078125,3.0,2.62109375,3.005859375,0.0,0.03202570813741235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,False,
beat_v2,beat_v2,2,0.1931471805599453,0.8664563726039136,0.09993033595974776,0.3062819137649982,0.32626913790417805,True,coverage,0.0059981684981685185,0.22257551669316372,0.8664563726039136,0.5264339418154521,0.5119431641548722,0.8239252750515643,0.30216414099712,0.7162312279430586,0.5439913095559991,1.0,0.3572086920571441,0.332883592096902,0.6737001303907094,0.5586678253734687,0.854883137787305,0.09760184643465655,0.47846790144427254,0.3484953020706453,0.2971985047304194,0.670031001436342,0.020083349026600125,0.03346830800116447,0.5660060832822037,1.0,0.0,0.781394177499215,0.0,2.7158203125,2.78125,2.8447265625,2.978515625,2.57421875,3.173828125,0.0,0.03248359287976681,0.09993033595974776,-0.11492056025089503,0.017357894907465532,0.035336802416588875,0.05776718969203892,0.04494903444239118,-0.010309533019874029,0.0,-0.14482890890181854,-0.20663862321759174,-0.0196444991007676,-0.010124689056601799,-0.006504127703555351,0.03410494411098326,-0.009692098313462516,-0.14638156490789822,-0.20720578592451055,-0.01969071009158574,0.030502094154453804,0.00144684656085467,-0.010032267074965406,0.0,0.0,-0.0292567311265699,0.0,-0.0927734375,-0.037109375,-0.006054687499999822,-0.021484375,-0.046875,0.16796875,0.0,0.00045788474235445437,-1.462836556328495,-5.100402198792274,1.3409385059601917,-0.12109374999999645,-1.40625,0.8085937499999973,-0.0,0.0,0.0,-0.02289423711772272,-1.13052025407148,1.2155359103633623,-0.0,0.0,0.0,False,
beat_v2,beat_v2,4,0.6362943611198906,0.8697530759006169,0.10322703925645105,0.3062819137649982,0.33703276170480756,True,coverage,0.009294871794871803,0.2238096693979047,0.8697530759006169,0.5107157718517976,0.43512862746967035,0.8177145417180887,0.30547419277277293,0.7178729053519355,0.5350856773143821,1.0,0.3414905220934896,0.25036279473637585,0.6658343711694072,0.5556903823069633,0.8632649023617796,0.10598361100913105,0.4792291736149795,0.3327771321069908,0.19894506105042264,0.6606831949212619,0.02734286746971573,0.031875075111408156,0.5659927348032541,1.0,0.0,0.7656760075355605,0.0,2.7001953125,2.80078125,2.8160156250000004,2.93359375,2.5634765625,3.08203125,0.0,0.03451617958126775,0.10322703925645105,-0.13063873021454953,-0.0594566417777363,0.029126069083113215,0.061077241467691834,0.04659071185126806,-0.01921516526149103,0.0,-0.16054707886547304,-0.2891594205781179,-0.02751025832206977,-0.01310213212310718,0.0018776368709192415,0.04248670868545776,-0.008930826142755532,-0.16209973487155271,-0.30545922960450733,-0.029038516606665787,0.03776161259756941,-0.00014638632890164732,-0.010045615553915033,0.0,0.0,-0.044974901090224395,0.0,-0.1083984375,-0.017578125,-0.03476562499999947,-0.06640625,-0.0576171875,0.076171875,0.0,0.002490471443855398,-2.2487450545112195,-5.886310696975,1.3133229880757296,-0.6953124999999893,-1.8437499999999996,0.22656249999999822,-0.0,0.0,0.0,-0.1245235721927699,-1.2895926893469896,1.113906575288315,-0.0,0.0,0.0,False,
beat_v2,beat_v2,8,1.2044415416798357,0.9161642411642412,0.14963820452007537,0.3062819137649982,0.48856363302891176,True,coverage,0.04166666666666667,0.27932054523182775,0.9161642411642412,0.683634243482308,0.5197121416940583,0.8414202138473741,0.3775938336292358,0.7273673243496233,0.5315906340976037,1.0,0.399530653399831,0.11026900874593967,0.6526232970327562,0.5362438163892047,0.949877960629799,0.27102399918966047,0.5125214777750647,0.3985056726795284,0.1009748586125391,0.6514600014598559,0.1959861056067746,0.007947791059937835,0.5385704075350053,1.0,0.0,0.7666761865305071,0.0,2.8203125,2.93359375,2.875,2.96484375,2.625,3.03125,0.0,0.032875696541582226,0.14963820452007537,0.0422797414159608,0.025126872446651682,0.05283174121239864,0.13319688232415472,0.05608513084895583,-0.022710208478269434,0.0,-0.10250694755913164,-0.42925320656855404,-0.04072133245872078,-0.0325486980408658,0.0884906951389387,0.2075270968659872,0.024361478017329685,-0.09637119429901508,-0.4034294320423909,-0.038261710068071775,0.20640485073462828,-0.02407367038037197,-0.03746794282216381,0.0,0.0,-0.04397472209527786,0.0,0.01171875,0.115234375,0.024218750000000178,-0.03515625,0.00390625,0.025390625,0.0,0.0008499884041698741,-2.198736104763893,-5.7096223950529055,1.2491614826753386,0.48437500000000355,-2.1914062500000018,4.664062499999997,-0.0,0.0,0.0,-0.042499420208493704,-0.9759460694105633,1.0850085520744184,-0.0,0.0,0.0,False,
beat_v2,beat_v2,16,1.8350887222397811,0.9540865384615385,0.1875605018173726,0.3062819137649982,0.6123786400305788,True,coverage,0.02788461538461541,0.3746928547585491,0.9540865384615385,0.5848423761439832,0.40431783113546715,0.8432028942879303,0.3991630041372652,0.7545050363929058,0.5487165107054293,1.0,0.3335188260471707,0.016721562675882706,0.6436213922192977,0.5528545264513254,0.944831798745001,0.22536876549032397,0.5266454946444259,0.3324928688881642,0.00891947376791255,0.6425868882828236,0.1299733018154104,0.008720540878495532,0.5549235343242732,1.0,0.0,0.7323192501143221,0.0,2.896484375,2.984375,2.921875,3.00390625,2.658203125,3.06640625,0.0,0.037927544454371374,0.1875605018173726,-0.05651212592236399,-0.09026743811193949,0.054614421652954825,0.1547660528321841,0.08322284289223836,-0.005584331870443826,0.0,-0.16851877491179196,-0.5228006526386111,-0.04972323727217931,-0.015937987978745127,0.0834445332541407,0.1618718631666507,0.03848549488669084,-0.1623839980903793,-0.4954848168870174,-0.047134823245104096,0.14039204694326407,-0.02330092056181427,-0.02111481603289589,0.0,0.0,-0.07833165851146284,0.0,0.087890625,0.166015625,0.07109375000000018,0.00390625,0.037109375,0.060546875,0.0,0.005901836316959022,-3.916582925573142,-7.099085166361463,-1.4149544743361289,1.4218750000000036,-1.4374999999999993,5.261718749999998,-0.0,0.0,0.0,-0.2950918158479511,-0.9764127378616116,0.35659605682099055,-0.0,0.0,0.0,True,coverage
beat_v5_madmom,beat_v5_madmom,1,0.0,0.5760383503571691,0.0,0.07437044130666401,0.0,False,,0.0,0.0,0.7665260366441659,0.6413545020663471,0.49458526924740664,0.7885884726349754,0.2443969513050811,0.6712821935006674,0.5543008425758731,1.0,0.5020376009589627,0.5395222153144937,0.693344629491477,0.5687925144300705,0.8613872654908603,0.06349690232367329,0.48815999975773505,0.4948768669785435,0.50440429065493,0.6897217115279277,-0.010418745127853679,0.032021461440309804,0.5760383503571691,1.0,0.0,0.8106509086257849,0.0,2.80859375,2.818359375,2.85078125,3.0,2.62109375,3.005859375,0.0,0.03202570813741235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,False,
beat_v5_madmom,beat_v5_madmom,2,0.1931471805599453,0.5760383503571691,0.0,0.07437044130666401,0.0,False,,0.0,0.0,0.7665260366441659,0.6413545020663471,0.49458526924740664,0.7885884726349754,0.2443969513050811,0.6712821935006674,0.5543008425758731,1.0,0.5020376009589627,0.5395222153144937,0.693344629491477,0.5687925144300705,0.8613872654908603,0.06349690232367329,0.48815999975773505,0.4948768669785435,0.50440429065493,0.6897217115279277,-0.010418745127853679,0.032021461440309804,0.5760383503571691,1.0,0.0,0.8106509086257849,0.0,2.80859375,2.818359375,2.85078125,3.0,2.62109375,3.005859375,0.0,0.03202570813741235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,False,
beat_v5_madmom,beat_v5_madmom,4,0.6362943611198906,0.6007355927357446,0.024697242378575512,0.07437044130666401,0.3320841176232539,True,coverage,0.0,0.06061740079577369,0.6276049167804231,0.4790958466198258,0.03778972675361725,0.6982226278133761,0.35007651753524316,0.6141702547580838,0.5286040922320963,0.9821428571428572,0.4479332278121374,0.4511009463619555,0.6847879657910368,0.5766917592345285,0.7327355386042413,-0.06515482456294558,0.4148898446660971,0.4255421335013172,0.32701278599299055,0.6727660490404288,-0.13907047201447253,0.07465320000040676,0.6007355927357446,0.9821428571428572,0.0,0.7688403388463292,0.0,2.8203125,2.77734375,2.83515625,2.994140625,2.640625,2.943359375,0.0,0.040370185509805284,-0.13892111986374278,-0.16225865544652135,-0.4567955424937894,-0.09036584482159937,0.10567956623016206,-0.05711193874258358,-0.02569675034377683,-0.017857142857142794,-0.05410437314682526,-0.08842126895253821,-0.00855666370044017,0.007899244804458028,-0.12865172688661897,-0.12865172688661886,-0.07327015509163798,-0.0693347334772263,-0.17739150466193943,-0.016955662487498913,-0.12865172688661886,0.04263173856009696,0.024697242378575512,-0.017857142857142794,0.0,-0.04181056977945574,0.0,0.01171875,-0.041015625,-0.015625,-0.005859375,0.01953125,-0.0625,0.0,0.008344477372392932,-2.090528488972787,-4.954662466091537,0.0,-0.3125,-1.5937500000000027,0.6562499999999993,-0.0,0.0,0.0,-0.4172238686196466,-1.0651785508966123,0.0,-0.0,0.0,0.0,False,
beat_v5_madmom,beat_v5_madmom,8,1.2044415416798357,0.6298694178206763,0.05383106746350719,0.07437044130666401,0.7238234238995113,True,coverage,0.01000292000114529,0.10127940289744505,0.6702649368963488,0.4173844602824348,0.1672226651747046,0.7249389665979035,0.28210768649446,0.6500671773585125,0.5243976999411881,0.9821428571428572,0.38734545280830385,0.6620204952161305,0.7047412070600672,0.5947121785275136,0.6454153076916046,-0.09959577846499851,0.36517970585920295,0.3647259312153116,0.4791681254967658,0.6871625874134859,-0.17351142591652546,0.10643387686980112,0.6298694178206763,0.9821428571428572,0.0,0.779612996299458,0.0,2.88671875,2.857421875,2.8939453124999996,2.94140625,2.6474609375,3.13671875,0.0,0.031758924162368904,-0.09626109974781705,-0.22397004178391233,-0.327362604072702,-0.06364950603707198,0.0377107351893789,-0.02121501614215493,-0.029903142634684965,-0.017857142857142794,-0.11469214815065881,0.12249827990163675,0.011396577568590138,0.025919664097443063,-0.2159719577992557,-0.16309268078867178,-0.1229802938985321,-0.1301509357632319,-0.02523616515816418,-0.002559124114441813,-0.16309268078867178,0.07441241542949131,0.05383106746350719,-0.017857142857142794,0.0,-0.03103791232632691,0.0,0.078125,0.0390625,0.04316406249999982,-0.05859375,0.0263671875,0.130859375,0.0,-0.00026678397504344836,-1.5518956163163455,-3.1562444055457313,-0.027255317914005872,0.8632812499999964,-1.7187500000000022,4.550781250000001,-0.0,0.0,0.0,0.013339198752172418,-0.6689232429380234,0.9245165204853529,-0.0,0.0,0.0,False,
beat_v5_madmom,beat_v5_madmom,16,1.8350887222397811,0.6753337291754349,0.09929537881826578,0.07437044130666401,1.335145752447866,True,coverage;musecritic_mean5,0.04627555051563227,0.1604374643698154,0.6819960996310623,0.2924014583815262,0.10785829416551924,0.7232344686495883,0.248374537874415,0.6786649144032486,0.5357529556627019,0.9613095238095238,0.35044481002113415,0.823566443815455,0.7199032834217747,0.6288068046711905,0.5220017531409402,-0.37222496825323836,0.3136362942829991,0.3161970435055038,0.5807143206736369,0.6966398211696525,-0.46649818579679303,0.1411321317820715,0.6753337291754349,0.9613095238095238,0.0,0.7644728376681142,0.0,2.716796875,2.587890625,2.642578125,2.75390625,2.291015625,2.86328125,0.0,0.03736552110579217,-0.08452993701310352,-0.34895304368482094,-0.3867269750818874,-0.06535400398538715,0.003977586569333891,0.007382720902581186,-0.01854788691317122,-0.038690476190476164,-0.15159279093782851,0.2840442285009612,0.02655865393029766,0.06001429024112004,-0.3393855123499201,-0.43572187057691164,-0.17452370547473595,-0.17867982347303968,0.07631003001870695,0.00691810964172479,-0.45607944066893935,0.10911067034176171,0.09929537881826578,-0.038690476190476164,0.0,-0.04617807095767068,0.0,-0.091796875,-0.23046875,-0.20820312499999982,-0.24609375,-0.330078125,-0.142578125,0.0,0.00533981296837982,-2.308903547883534,-4.831667081378789,0.27498925158100856,-4.1640624999999964,-13.50400390625,3.6835937500000004,-0.0,0.0,0.0,-0.266990648418991,-0.7972170377801736,0.3308205023898475,-0.0,0.0,0.0,False,
