arm,score_key,k,original_proxy_mean,original_proxy_gain,fixed_vocal_proxy_mean,fixed_vocal_proxy_gain,counterfactual_gain_retention,fixed_vocal_beat_v2,fixed_vocal_beat_v5_madmom,fixed_vocal_beat_v5_beat_this,fixed_vocal_coverage
beat_v2,beat_v2,1,0.7665260366441659,0.0,0.7665260366441659,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v2,beat_v2,2,0.8664563726039136,0.09993033595974776,0.6551212495040846,-0.11140478714008129,-1.1148245031914579,0.6551212495040846,0.5342044925118938,0.5069149891922096,0.781394177499215
beat_v2,beat_v2,4,0.8697530759006169,0.10322703925645105,0.6612417768110526,-0.10528425983311329,-1.0199290863273858,0.6612417768110526,0.5354457689561647,0.5098117499533914,0.7656760075355605
beat_v2,beat_v2,8,0.9161642411642412,0.14963820452007537,0.598342741426106,-0.16818329521805986,-1.123932860311061,0.598342741426106,0.4835786091160905,0.4826919586584554,0.7666761865305071
beat_v2,beat_v2,16,0.9540865384615385,0.1875605018173726,0.6075565006398652,-0.15896953600430064,-0.847564036478688,0.6075565006398652,0.4888649240274977,0.4897511919920827,0.7323192501143221
beat_v5_madmom,beat_v5_madmom,1,0.5760383503571691,0.0,0.5760383503571691,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_madmom,beat_v5_madmom,2,0.5760383503571691,0.0,0.5760383503571691,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_madmom,beat_v5_madmom,4,0.6007355927357446,0.024697242378575512,0.5654923242116052,-0.01054602614556388,-0.4270122948913681,0.6638690485919292,0.5654923242116052,0.508014067277988,0.7688403388463292
beat_v5_madmom,beat_v5_madmom,8,0.6298694178206763,0.05383106746350719,0.556869449133238,-0.019168901223931112,-0.3560936486523506,0.5733300977854472,0.556869449133238,0.46216098303728825,0.779612996299458
beat_v5_madmom,beat_v5_madmom,16,0.6753337291754349,0.09929537881826578,0.5585268080176622,-0.017511542339506914,-0.17635807978090512,0.41337179628302806,0.5585268080176622,0.4309245257813625,0.7644728376681142
beat_v5_beat_this,beat_v5_beat_this,1,0.5543008425758731,0.0,0.5543008425758731,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_beat_this,beat_v5_beat_this,2,0.5543008425758731,0.0,0.5543008425758731,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_beat_this,beat_v5_beat_this,4,0.5606957146639079,0.0063948720880347976,0.5462961789945892,-0.008004663581283933,-1.2517316173158732,0.6500189148865461,0.5422602920495885,0.5462961789945892,0.7672335572939039
beat_v5_beat_this,beat_v5_beat_this,8,0.6146026396555724,0.06030179707969929,0.5570148472235049,0.002714004647631829,0.04500702763542521,0.50925736497545,0.4746945302665379,0.5570148472235049,0.7813978609355741
beat_v5_beat_this,beat_v5_beat_this,16,0.6715459996563378,0.11724515708046468,0.5097087011842693,-0.044592141391603834,-0.3803324802661188,0.22116616477307324,0.39872290177700187,0.5097087011842693,0.7816828089571629
beat_v5_detector_ensemble,beat_v5_detector_ensemble,1,0.5687925144300705,0.0,0.5687925144300705,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
beat_v5_detector_ensemble,beat_v5_detector_ensemble,2,0.5687925144300705,0.0,0.5687925144300705,0.0,,0.7665260366441659,0.5760383503571691,0.5543008425758731,0.8106509086257849
